category,gi,gl,name
bread,60,16,"Apricot, coconut and honey muffin"
bread,47,14,"Banana cake, made with sugar"
bread,55,12,"Banana cake, made without sugar"
bread,65,17,"Banana, oat and honey muffin "
bread,36,8,"Carrot cake, prepared with coconut flour "
bread,38,20,Chocolate cake made from packet mix with chocolate frosting
bread,70,10,"White bread, wheat flour, Sunblest™"
bread,70,10,"White bread, wheat flour"
bread,71,10,"White bread, wheat flour "
bread,71,11,"White bread, wheat flour"
bread,71,9,"White bread, wheat flour "
bread,72,11,"White bread, wheat flour "
bread,73,11,"White bread, wheat flour, with 5 g margarine"
bread,75,10,"White bread, wheat flour"
bread,75,13,"White bread, wheat flour"
bread,59,8,"White bread, wheat flour "
bread,69,10,"White bread, wheat flour "
bread,75,11,"White bread, wheat flour, with 10 g margarine"
bread,87,11,"White bread, wheat flour"
bread,88,12,"White bread, wheat flour "
bread,89,18,"White bread, wheat flour "
bread,89,12,"White bread, wheat flour, homemade"
bread,70,10,"White bread, wheat flour "
bread,71,10,"White bread, wheat flour"
bread,71,10,"White bread, wheat flour "
bread,78,12,"White bread, wheat flour "
bread,73,11,"White bread, wheat flour, hard, toasted "
bread,50,7,"White bread, toasted"
bread,63,8,"White bread, fresh, toasted"
bread,66,9,"White bread, homemade, fresh, toasted"
bread,75,9,"White bread, frozen and defrosted"
bread,62,8,"White bread, homemade, frozen and defrosted"
bread,64,8,"White bread, wheat flour, frozen, defrosted and toasted"
bread,54,7,"White bread, homemade, frozen, defrosted and toasted"
bread,68,7,"Wholemeal (whole wheat) bread, with 10 g margarine"
bread,69,9,Wholemeal (whole wheat) bread
bread,71,8,"Wholemeal (whole wheat) bread, with 5 g margarine"
bread,72,9,Wholemeal (whole wheat) bread
bread,74,10,Wholemeal (whole wheat) bread
bread,74,8,"Wholemeal (whole wheat) bread, with 5 g margarine"
bread,75,9,Wholemeal (whole wheat) bread
bread,77,9,Wholemeal (whole wheat) bread
bread,78,9,Wholemeal (whole wheat) bread
bread,85,13,Wholemeal (whole wheat) bread
bread,52,6,Wholemeal (whole wheat) bread
bread,64,7,Wholemeal (whole wheat) bread
bread,65,8,Wholemeal (whole wheat) bread
bread,67,8,Wholemeal (whole wheat) bread
bread,67,8,Wholemeal (whole wheat) bread
bread,69,8,Wholemeal (whole wheat) bread
bread,69,8,Wholemeal (whole wheat) bread
bread,71,9,Wholemeal (whole wheat) bread
bread,71,10,Wholemeal (whole wheat) bread
bread,73,10,Wholemeal (whole wheat) bread
bread,87,11,Wholemeal (whole wheat) bread
bread,73,19,"Cupcake, strawberry-iced, Squiggles"
bread,87,25,Lamingtons cake (sponge dipped in chocolate and coconut)
bread,38,9,Pound cake
bread,50,13,"Raspberry Coffee cake, President's Choice® Blue Menu™"
bread,42,24,"Vanilla cake, made from packet mix with vanilla frosting"
bread,41,14,"Apple Berry crumble cake, President's Choice® Blue Menu™ "
bread,31,6,"Bavarian cake (mousse filling on biscuit base), Chocolate honeycomb, light"
bread,50,11,"Danish, Apple & Peach, light"
bread,75,15,"Doughnut, wheat dough, deep-fried "
bread,44,13,"Apple muffin, made with rolled oats and sugar"
bread,48,9,"Apple muffin, made with rolled oats and without sugar"
bread,49,12,Apple blueberry muffin
bread,54,14,"Apple, oat, sultana muffin"
bread,50,15,Blueberry muffin
bread,57,22,"Blueberry (Wild) 10-Grain muffin, President's Choice® Blue Menu™"
bread,53,15,Chocolate butterscotch muffin
bread,52,17,Chocolate chip muffin
bread,48,14,"Cranberry & Orange Soy muffin, President's Choice® Blue Menu™"
bread,46,16,Double chocolate muffin
bread,46,11,"Muffin, plain, made from wheat flour "
bread,37,9,"Muffin, reduced-fat, low-calorie, made from  high-amylose corn starch and maltitol"
bread,52,17,"Raisin Bran Flax muffin, President's Choice® Blue Menu™"
bread,58,19,"Raspberry Pomegranate muffin, President's Choice® Blue Menu™"
bread,66,17,"Pancakes, homemade"
bread,67,38,"Pancakes, prepared from shake mix"
bread,80,16,"Pancakes, prepared from wheat flour"
bread,102,23,"Pancakes, buckwheat, gluten-free, made from packet mix"
bread,61,32,"Pancakes, gluten-free, made from packet mix"
bread,46,10,"Pancakes, prepared with coconut flour "
bread,61,22,"Pan de sal (sweet bread roll), containing coconut flour "
bread,56,11,"Pastry, puff, Pampas™"
bread,85,18,"Pikelets, Golden brand"
bread,92,8,"Scones, plain, made from packet mix"
bread,69,24,"Bagel, white bread"
bread,57,10,"Traditional French baguette bread (prepared with wheat flour, water, salt and 20 g yeast) "
bread,73,9,"Whole Grain Baguette bread, President's Choice® Blue Menu™"
bread,72,27,French baguette bread with chocolate spread
bread,62,26,French baguette bread with butter and strawberry jam 
bread,63,20,Pain au lait bread
bread,34,7,"Coarse barley kernel bread, 80% scalded intact kernels (20% white wheat flour)"
bread,40,8,"Coarse barley kernel bread, 80% intact kernels (20% white wheat flour)"
bread,48,10,"Barley kernel bread, 50% kibbled barley "
bread,57,6,Sunflower and barley bread
bread,70,8,"Sunflower and barley bread, with 5 g margarine"
bread,67,13,Wholemeal barley flour (80%) bread (20% white wheat flour) 
bread,50,7,"Wholemeal barley bread, flat, thin, soft (50% regular barley flour, 50% high-fiber barley flour) "
bread,43,5,"Wholemeal barley bread, flat, thin, soft (20% regular barley flour, 80% high-fiber barley flour) "
bread,74,12,"Barley flour bread, made from 50% wheat flour and 50% coarse sieved barley flour (containing 4.2% total 1-3, 1-4 ß-glucan of which 2.8% soluble) "
bread,70,11,"Barley flour bread, made from 80% wheat flour and 20% water-extracted barley flour (containing 6.3% total 1-3, 1-4 ß-glucan of which 5.7% soluble) "
bread,85,15,"Whole grain barley flour bread, made from 50% barley flour and 50% wheat flour (containing 2.4% total 1-3, 1-4 ß-glucan of which 2.0% soluble) "
bread,49,6,"Barley bread, 70% high-amylose barley flour and 30% white wheat flour, baked long-time at low tempertaure "
bread,70,9,"Barley bread, 70% high-amylose barley flour & 30% white wheat flour, conventionally baked "
bread,70,14,Wholemeal barley flour (80%) bread 
bread,53,10,Wholemeal barley flour (80%) bread with sourdough (lactic acid)
bread,66,12,Wholemeal barley flour (80%) bread with lactic acid
bread,59,12,Wholemeal barley flour (80%) bread with calcium lactate
bread,65,13,Wholemeal barley flour (80%) bread with sodium propionate
bread,57,11,Wholemeal barley flour (80%) bread with higher dose sodium propionate
bread,47,10,"Buckwheat bread, 50% dehusked buckwheat groats and 50% white wheat flour "
bread,67,13,Buckwheat bread
bread,55,7,"Chickpea flour bread, made from Amethyst-type desi chickpeas"
bread,67,8,"Chickpea flour bread, made from extruded chickpea flour "
bread,49,11,"Corn tortilla, made from white corn, Diego's brand"
bread,67,8,"Bread, flax, made from flax meal & wheat flour"
bread,44,6,Bürgen® Fruit loaf bread
bread,53,7,Bürgen® Fruit and Muesli bread
bread,47,7,"Continental fruit loaf, wheat bread with dried fruit "
bread,71,11,Fruit and cinnamon bread
bread,54,8,"Fruit and Spice Loaf bread, thick sliced"
bread,57,9,"Fruit loaf bread, sliced"
bread,63,9,"Happiness™ bread, cinnamon, raisin, pecan bread"
bread,54,7,"Muesli bread, made from packet mix in bread making machine"
bread,47,7,Whole-wheat bread with dried fruit
bread,79,10,Gluten Free Multigrain bread
bread,53,4,Gluten Free Low GI White bread
bread,72,8,"Gluten-free buckwheat bread, made with buckwheat meal & rice flour"
bread,62,7,"100% Whole wheat Gigantico Burger Buns, President's Choice® Blue Menu™"
bread,62,7,"100% Whole wheat Gigantico Hot Dog Rolls, President's Choice® Blue Menu™"
bread,65,13,"Coarse oat kernel bread, 80% intact oat kernels and 20% white wheat flour "
bread,44,8,50% oat bran bread 
bread,50,9,45% oat bran and 50% wheat flour bread
bread,62,9,Oatmeal batch bread
bread,72,8,"Rice bread, low-amylose Calrose rice"
bread,61,7,"Rice bread, high-amylose Doongara rice"
bread,50,7,Rye bread (50% rye flour + 50% wheat flour) 
bread,40,6,Wheat and rye bread (75% wheat flour + 10% rye flour + 15% wheat bran) 
bread,41,5,"Coarse rye kernel bread, 80% intact kernels and 20% white wheat flour "
bread,57,6,"Whole-kernel rye bread, 60% whole rye kernels and 40% rye flour"
bread,66,6,Rye bread (80% rye flour + 20% oat ß-glucan concentrate)
bread,78,11,"Rye bread, 69% whole-grain rye flour"
bread,76,10,"Blackbread, Riga"
bread,55,6,Bürgen™ Dark/Swiss rye bread
bread,51,5,Bürgen™ Rye bread
bread,53,5,Country Grain Organic Rye bread
bread,59,8,"Roggenbrot, Vogel's bread"
bread,55,5,Rye Hi-Soy with Linseed bread
bread,86,12,"Schinkenbrot, Riga bread"
bread,48,6,Sourdough rye bread 
