category,gi,gl,name
cheese,34,4,"Milk, full-fat/whole "
cheese,31,4,"Milk, full-fat/whole"
cheese,21,3,"Milk, full-fat/whole, 3% fat"
cheese,34,4,"Milk, full-fat/whole, pasteurised, fresh, organic"
cheese,41,5,"Milk, full-fat/whole"
cheese,46,5,"Milk, full-fat/whole, standardised homogenised, pasteurised, British"
cheese,11,1,"Milk, full-fat/whole"
cheese,30,4,"Milk, reduced fat (1.4%), Lite White™"
cheese,25,3,"Milk, semi-skimmed, British"
cheese,34,4,"Milk, semi-skimmed, pasteurised, organic"
cheese,23,3,"Milk, reduced fat with added omega 3, Take Care™"
cheese,27,4,"Milk, reduced fat (98% fat free) with added omega 3, Farmers Best™"
cheese,32,4,"Milk, skim "
cheese,32,4,"Milk, skim"
cheese,32,4,"Milk, skim "
cheese,37,5,"Milk, skim"
cheese,48,6,"Milk, skimmed, pasteurised, British"
cheese,27,3,"Milk, skim, made from powder"
cheese,34,6,"Shape™ milk, fat free"
cheese,20,3,"Pura™ HiLo milk, skim/low-fat"
cheese,20,3,"Pura™ Skimmer milk, skim/low-fat"
cheese,30,4,Pura™ Light Start milk
cheese,30,5,"Pura™ Tone milk, skim/low-fat"
cheese,61,33,"Milk, condensed, sweetened"
cheese,11,0,"Fermented cow's milk (ropy milk, långfil, 3% fat)"
cheese,11,0,"Fermented cow's milk (filmjölk, 3% fat)"
cheese,28,3,"Milk, full-fat/whole consumed with 20 g wheat bran "
cheese,31,8,"Milk, full-fat/whole, banana, honey and malt flavored"
cheese,32,9,"Milk, full-fat, Masters® mocha flavored"
cheese,37,9,"Milk, reduced/low fat, Big M™, chocolate or strawberry flavored"
cheese,35,9,"Milk, reduced fat, Masters®, chocolate or strawberry flavored"
cheese,27,6,"Milk, low-fat, Masters® Light, 99% fat free chocolate or mocha flavored"
cheese,24,3,"Milk, low-fat, chocolate flavored, with aspartame, Lite White™"
cheese,34,9,"Milk, low-fat, chocolate flavored, with sugar, Lite White™"
cheese,31,7,Rush® Heavenly Vanilla Malt flavored milk
cheese,24,5,Rush® Intense Coffee flavored milk
cheese,26,5,Rush® Ultimate Chocolate flavored milk
cheese,26,5,Rush® Wicked Latte flavored milk
cheese,44,8,"Soy milk, full-fat (3%), Original, 0 mg calcium, with maltodextrin"
cheese,36,6,"Soy milk, full-fat (3%), Calciforte, 120 mg calcium, with maltodextrin"
cheese,41,6,"Soy milk, full-fat (3%), 120 mg calcium, Calciforte"
cheese,43,7,"Soy milk, Vitasoy® Organic"
cheese,21,2,"Soy milk, Vitasoy® So Milky Regular"
cheese,45,4,"Soy milk, low-fat (0.7%), Vitasoy® Light Original"
cheese,17,1,"Soy milk, reduced-fat (1.5%), Vitasoy® So Milky Lite"
cheese,44,8,"Soy milk, reduced-fat (1.5%), 120 mg calcium, Light, containing maltodextrin"
