category,gi,gl,name
sweet,23,6,"Chocolate, dark, Dove®"
sweet,49,14,"Chocolate, plain"
sweet,34,7,"Chocolate, plain with sucrose "
sweet,45,13,"Chocolate, plain Dove®"
sweet,42,13,"Chocolate, plain"
sweet,23,3,"Chocolate candy, sugar free, artificially sweetened, Dove®"
sweet,44,12,"Chocolate, dark with raisins, peanuts and jam"
sweet,21,2,"Cocoavia™ Chocolate Covered Almonds, artificially sweetened"
sweet,43,10,"Chocolate crinkles, containing coconut flour "
sweet,11,1,"Fructose, 25 g portion, Sweeten Less"
sweet,12,1,"Fructose, 50 g portion, Sweeten Less"
sweet,23,2,"Fructose, 50 g portion "
sweet,96,10,"Glucose, 50 g portion (dextrose)"
sweet,96,10,"Glucose, 50 g portion"
sweet,100,10,"Glucose, 50 g portion"
sweet,102,10,"Glucose, 50 g portion, Glucodin™ glucose tablets"
sweet,111,11,"Glucose, 50 g portion (dextrose)"
sweet,103,10,"Glucose, 25 g portion"
sweet,114,11,"Glucose, 100 g portion"
sweet,76,8,"Glucose, 25 g portion (Glucodex), consumed 40 min before 3 g American dried ginseng (Panax quinquefolius L.)"
sweet,62,6,"Glucose, 50 g portion, consumed with 14.5 g guar gum"
sweet,86,9,"Glucose, 75 g portion, consumed with 4.24 g salt"
sweet,85,9,"Glucose, 100 g portion, consumed with 20 g acacia gum"
sweet,58,12,"Honey, Pure"
sweet,35,6,"Honey, Yellow box (46% fructose)"
sweet,44,9,"Honey, Stringy Bark (52% fructose) "
sweet,46,8,"Honey, Red Gum (35% fructose) "
sweet,48,7,"Honey, Iron Bark (34% fructose)"
sweet,51,11,"Capilano Premium Honey, blend of eucalypt & floral honeys"
sweet,52,9,"Honey, Yapunya (42 % fructose)"
sweet,60,13,Leabrook Farms Yellow Box honey
sweet,62,11,"Honey, Commercial Blend (38% fructose), WA blend"
sweet,64,10,"Honey, Salvation Jane (32% fructose) "
sweet,69,15,"Clover honey, ratio of fructose: glucose, 1.09"
sweet,72,9,"Honey, Commercial Blend (28% fructose), NSW blend"
sweet,73,16,"Buckwheat honey, ratio of fructose:glucose, 1.12"
sweet,74,16,"Cotton honey, ratio of fructose:glucose, 1.03"
sweet,74,16,"Honey, type not specified"
sweet,74,16,"Tupelo honey, ratio of fructose:glucose, 1.54"
sweet,87,18,"Honey, type not specified"
sweet,58,6,"Sugar (Sucrose), 50 g portion"
sweet,60,6,"Sugar (Sucrose), 50 g portion "
sweet,60,6,"Sugar (Sucrose), 25 g portion"
sweet,65,7,"Sugar (Sucrose), 50 g portion "
sweet,65,7,"Sugar (Sucrose), 100 g portion"
sweet,84,8,"Sugar (Sucrose), 50 g portion "
sweet,70,25,"Pop Tarts™, Double Chocolate"
sweet,42,6,"Cereal bar, cranberry flavor"
sweet,33,4,"Cereal bar, hazelnut flavor "
sweet,33,5,"Cereal bar, orange flavor "
sweet,72,19,Crunchy Nut Cornflakes™ bar
sweet,78,18,Fiber Plus™ bar
sweet,56,11,"Fruity-Bix™ bar, wheat biscuit cereal with dried fruit and nuts with yoghurt coating"
sweet,51,9,"Fruity-Bix™ bar, wild berry, wheat biscuit cereal and covered with yoghurt coating"
sweet,53,11,Hi-Lite™ breakfast bar
sweet,72,17,K-Time Just Right™ bar
sweet,77,19,K-Time Strawberry Crunch™ bar
sweet,50,9,"Muesli breakfast bar, gluten-free"
sweet,21,3,"Omega bar, containing linseeds, sunflower kernels and nuts, gluten-free"
sweet,63,15,Rice Bubble Treat™ bar
sweet,57,14,Sustain™ bar
sweet,47,8,"Apricot Temptation fruit cookies, 97% fat-free"
sweet,69,12,Milk Arrowroot™ cookies
sweet,71,23,Barquette Abricot cookies
sweet,46,16,Bebe Dobre Rano Chocolate cookies
sweet,46,16,Bebe Dobre Rano Chocolate cookies
sweet,57,19,Bebe Dobre Rano Chocolate cookies
sweet,48,16,Bebe Dobre Rano Coconut cookies
sweet,51,17,Bebe Dobre Rano Four Cereals cookies
sweet,51,17,Bebe Dobre Rano Honey and Hazelnuts cookies
sweet,41,14,Bebe Dobre Rano Nuts and Honey cookies
sweet,45,15,Bebe Dobre Rano Nuts and Honey cookies
sweet,50,18,Bebe Dobre Rano with Milk cookies
sweet,67,14,Bebe Jemne Susenky cookies
sweet,51,17,Better Choice Multicereals cookies
sweet,46,16,Better Choice Wholegrain cookies
sweet,43,7,"Chocolate chip cookies, containing coconut flour "
sweet,39,6,"Digestives, cookies"
sweet,59,9,"Digestives, cookies "
sweet,66,14,"Evergreen met Krenten, digestive cookies"
sweet,28,6,"Gran'Dia Banana, Oats and Honey, digestive cookies"
sweet,39,8,"Gran'Dia Chocolate with five cereals, digestive cookies"
sweet,55,9,"Grany en-cas Abricot, digestive cookies"
sweet,50,7,"Grany en-cas Fruits des bois, digestive cookies"
sweet,62,12,"Grany Rush Apricot, digestive cookies"
sweet,45,16,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli
sweet,49,18,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli
sweet,47,17,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli
sweet,55,10,Highland Oatmeal™ cookies
sweet,41,14,Jo Reggelt Fruits and Figs cookies
sweet,44,15,Jubilee Nuts and Honey cookies
sweet,45,15,Jubilee Nuts and Honey cookies
sweet,45,16,Jyväshyvä Paussi Mysli and Fruits cookies
sweet,49,18,Jyväshyvä Paussi Mysli and Fruits cookies
sweet,47,17,Jyväshyvä Paussi Mysli and Fruits cookies
sweet,55,19,Jyväshyvä Paussi Vanilla cookies
sweet,39,13,Jyväshyvä Paussi Vanilla cookies
sweet,46,16,Jyväshyvä Paussi Wholegrain cookies
sweet,35,4,Leda Luxury gluten-free chocolate coated cookies
sweet,42,14,LU P'tit Déjeuner Chocolat cookies 
sweet,45,16,LU P'tit Déjeuner Miel et Pépites Chocolat cookies 
sweet,49,18,LU P'tit Déjeuner Miel et Pépites Chocolat cookies 
sweet,52,18,LU P'tit Déjeuner Miel et Pépites Chocolat cookies 
sweet,51,18,"LU Petit Dejeuner, Chocolate, low in sugar cookies"
sweet,46,16,LU Petit Dejeuner Chocolate & Cereals cookies
sweet,58,20,LU Petit Dejeuner Chocolate & Cereals cookies
sweet,37,13,"LU Petit Dejeuner Cereals & Chocolate Chips, low in sugar  cookies"
sweet,55,19,"LU Petit Dejeuner Coconut, nuts and chocolate cookies"
sweet,51,17,"LU Petit Dejeuner Coconut, nuts and chocolate cookies"
sweet,45,16,LU Petit Dejeuner Fruits and Muesli cookies
sweet,49,18,LU Petit Dejeuner Fruits and Muesli cookies
sweet,47,17,LU Petit Dejeuner Fruits and Muesli cookies
