category,gi,gl,name
vegetable,33,2,"Carrots, peeled, boiled "
vegetable,49,2,"Carrots, peeled, diced, boiled"
vegetable,35,2,"Carrots, raw, diced "
vegetable,39,2,"Carrots, raw, ground "
vegetable,37,6,"Sweet corn, 'Honey & Pearl' variety "
vegetable,48,8,"Sweet corn on the cob, boiled 20 min"
vegetable,55,9,Sweet corn 
vegetable,60,11,"Sweet corn, boiled "
vegetable,62,11,Sweet corn 
vegetable,52,17,"Sweet corn, cooked"
vegetable,59,19,Sweet corn 
vegetable,60,20,Sweet corn 
vegetable,46,13,"Sweet corn, whole kernel, canned, diet-pack, drained"
vegetable,47,16,"Sweet corn, frozen, reheated in microwave"
vegetable,52,15,Corn granules 
vegetable,69,19,"Potato, white with skin, baked, consumed with 10 g margarine"
vegetable,98,26,"Potato, white without skin, baked, consumed with 10 g margarine"
vegetable,83,25,"Irish potato (Solanum tuberosum), peeled, baked 45 min "
vegetable,58,9,"Nicola potato, unpeeled, boiled whole for 15 min"
vegetable,93,17,"Pontiac potato, peeled and baked "
vegetable,85,25,"Maris Piper potato, peeled, quartered, boiled 15 min in unsalted water "
vegetable,83,17,"Mashed potato, type not specified"
vegetable,87,14,"Sebago potato, peeled, boiled 35 min "
vegetable,89,19,"Red potatoes, boiled with skin on in salted water for 12 min"
vegetable,111,33,"Russet Burbank potatoes, baked without fat "
vegetable,88,18,Instant Mashed potato
vegetable,56,18,"Marfona potato, peeled, quartered, boiled 15 min in unsalted water "
vegetable,96,24,"Potato, white, boiled, consumed with 10 g margarine "
vegetable,78,20,"Asterix potato, peeled, boiled 30 min "
vegetable,92,24,"Asterix potato, peeled, boiled 30 min, served with 15.4 g sunflower oil (Ica Handlarna, Solna, Sweden)"
vegetable,66,15,"Charlotte potato, peeled, quartered, boiled 15 min "
vegetable,81,19,"Charlotte potato, boiled, consumed with 10 g margarine"
vegetable,101,17,"Desiree potato, peeled, boiled 35 min "
vegetable,66,17,"Estima potato, peeled, quartered, boiled 15 min "
vegetable,59,19,"Irish potato (Solanum tuberosum), peeled, cubed, boiled 30 min "
vegetable,75,21,"King Edward potato, peeled, quartered,  boiled 15 min in unsalted water "
vegetable,59,9,"Nicola potato, peeled, quartered, boiled 15 min "
vegetable,56,14,"Pontiac potato, peeled, boiled whole for 30 min "
vegetable,88,16,"Pontiac potato, peeled, boiled 35 min "
vegetable,118,24,"Sava potato, peeled, boiled 21-30 min"
vegetable,66,13,"Potato, type not specified, boiled "
vegetable,76,26,"Potato, type not specified, boiled in salted water "
